# Escherichia_coli
CDOECKAM_00001	K00633
CDOECKAM_00092	K04752
CDOECKAM_00093	K03320
CDOECKAM_00094	K10805
CDOECKAM_00096	K07443
CDOECKAM_00100	K00661
CDOECKAM_00101	K05839
CDOECKAM_00102	K19162
CDOECKAM_00103	K18138
CDOECKAM_00104	K03585
CDOECKAM_00105	K03577
CDOECKAM_00106	K05802
CDOECKAM_00108	K04067
CDOECKAM_00109	K09790
CDOECKAM_00110	K00759
CDOECKAM_00111	K02343
CDOECKAM_00112	K09747
CDOECKAM_00113	K06187
CDOECKAM_00114	K04079
CDOECKAM_00115	K00939
CDOECKAM_00116	K01772
CDOECKAM_00117	K01066
CDOECKAM_00118	K00892
CDOECKAM_00119	K03455
CDOECKAM_00120	K08223
CDOECKAM_00121	K11751
CDOECKAM_00124	K03976
CDOECKAM_00126	K07334
CDOECKAM_00127	K21498
CDOECKAM_00128	K17686
CDOECKAM_00129	K01425
CDOECKAM_00131	K19591
CDOECKAM_00133	K07340
CDOECKAM_00134	K04088
CDOECKAM_00135	K02068
CDOECKAM_00136	K02069
CDOECKAM_00137	K03671
CDOECKAM_00139	K10804
CDOECKAM_00140	K09810
CDOECKAM_00142	K06917
CDOECKAM_00143	K10972
CDOECKAM_00144	K01483
CDOECKAM_00145	K10973
CDOECKAM_00146	K01608
CDOECKAM_00147	K01816
CDOECKAM_00148	K00042
CDOECKAM_00149	K10975
CDOECKAM_00150	K01466
CDOECKAM_00152	K00865
CDOECKAM_00153	K14977
CDOECKAM_00154	K02083
CDOECKAM_00155	K00073
CDOECKAM_00159	K00926
CDOECKAM_00160	K01589
CDOECKAM_00161	K01588
CDOECKAM_00163	K03269
CDOECKAM_00164	K03768
CDOECKAM_00165	K01883
CDOECKAM_00166	K07038
CDOECKAM_00168	K01491
CDOECKAM_00172	K01355
CDOECKAM_00174	K11739
CDOECKAM_00176	K07644
CDOECKAM_00177	K07665
CDOECKAM_00178	K07796
CDOECKAM_00179	K07810
CDOECKAM_00180	K07798
CDOECKAM_00181	K07787
CDOECKAM_00182	K11732
CDOECKAM_00183	K16053
CDOECKAM_00184	K10679
CDOECKAM_00187	K06048
CDOECKAM_00190	K02362
CDOECKAM_00191	K19611
CDOECKAM_00192	K07214
CDOECKAM_00194	K02364
CDOECKAM_00196	K02013
CDOECKAM_00197	K02015
CDOECKAM_00198	K02015
CDOECKAM_00199	K08225
CDOECKAM_00200	K02016
CDOECKAM_00201	K02361
CDOECKAM_00202	K02363
CDOECKAM_00203	K01252
CDOECKAM_00204	K00216
CDOECKAM_00206	K06200
CDOECKAM_00208	K08317
CDOECKAM_00209	K14287
CDOECKAM_00213	K03805
CDOECKAM_00214	K03386
CDOECKAM_00215	K03387
CDOECKAM_00216	K11932
CDOECKAM_00217	K06140
CDOECKAM_00218	K01169
CDOECKAM_00219	K09477
CDOECKAM_00220	K05966
CDOECKAM_00221	K05964
CDOECKAM_00222	K01643
CDOECKAM_00223	K01644
CDOECKAM_00224	K01646
CDOECKAM_00225	K01910
CDOECKAM_00226	K07700
CDOECKAM_00227	K07702
CDOECKAM_00228	K03326
CDOECKAM_00229	K12973
CDOECKAM_00230	K03704
CDOECKAM_00231	K06199
CDOECKAM_00232	K11206
CDOECKAM_00233	K03425
CDOECKAM_00234	K03644
CDOECKAM_00236	K03801
CDOECKAM_00238	K07258
CDOECKAM_00239	K03642
CDOECKAM_00240	K05837
CDOECKAM_00241	K05515
CDOECKAM_00242	K00783
CDOECKAM_00243	K09710
CDOECKAM_00244	K02226
CDOECKAM_00245	K00969
CDOECKAM_00246	K02340
CDOECKAM_00247	K03643
CDOECKAM_00248	K01869
CDOECKAM_00250	K01250
CDOECKAM_00252	K10002
CDOECKAM_00253	K10040
CDOECKAM_00254	K10001
CDOECKAM_00256	K03820
CDOECKAM_00257	K06189
CDOECKAM_00258	K07042
CDOECKAM_00259	K06217
CDOECKAM_00260	K06168
CDOECKAM_00261	K03184
CDOECKAM_00269	K01953
CDOECKAM_00270	K02566
CDOECKAM_00271	K02565
CDOECKAM_00272	K01443
CDOECKAM_00273	K02564
CDOECKAM_00274	K02802
CDOECKAM_00274	K02803
CDOECKAM_00274	K02804
CDOECKAM_00276	K19334
CDOECKAM_00279	K01714
CDOECKAM_00280	K19954
CDOECKAM_00282	K22024
CDOECKAM_00283	K22103
CDOECKAM_00284	K01886
CDOECKAM_00287	K03711
CDOECKAM_00288	K03839
CDOECKAM_00290	K01175
CDOECKAM_00291	K03645
CDOECKAM_00292	K01835
CDOECKAM_00293	K03756
CDOECKAM_00294	K01581
CDOECKAM_00295	K07667
CDOECKAM_00296	K07646
CDOECKAM_00297	K01548
CDOECKAM_00298	K01547
CDOECKAM_00299	K01546
CDOECKAM_00302	K01669
CDOECKAM_00303	K03305
CDOECKAM_00305	K06351
CDOECKAM_00306	K06350
CDOECKAM_00308	K05522
CDOECKAM_00311	K01647
CDOECKAM_00313	K00241
CDOECKAM_00314	K00242
CDOECKAM_00315	K00239
CDOECKAM_00316	K00240
CDOECKAM_00317	K00164
CDOECKAM_00318	K00658
CDOECKAM_00319	K01903
CDOECKAM_00320	K01902
CDOECKAM_00323	K00425
CDOECKAM_00324	K00426
CDOECKAM_00325	K00424
CDOECKAM_00327	K07107
CDOECKAM_00328	K03561
CDOECKAM_00329	K03559
CDOECKAM_00332	K03640
CDOECKAM_00341	K03517
CDOECKAM_00342	K03811
CDOECKAM_00343	K16264
CDOECKAM_00345	K01626
CDOECKAM_00346	K01834
CDOECKAM_00347	K01785
CDOECKAM_00348	K00849
CDOECKAM_00349	K00965
CDOECKAM_00350	K01784
CDOECKAM_00351	K02013
CDOECKAM_00352	K02019
CDOECKAM_00354	K02020
CDOECKAM_00355	K02018
CDOECKAM_00356	K02045
CDOECKAM_00358	K07404
CDOECKAM_00359	K04761
CDOECKAM_00360	K16514
CDOECKAM_00361	K03319
CDOECKAM_00362	K20452
CDOECKAM_00363	K01051
CDOECKAM_00364	K06910
CDOECKAM_00366	K00833
CDOECKAM_00367	K01012
CDOECKAM_00368	K00652
CDOECKAM_00369	K02169
CDOECKAM_00370	K01935
CDOECKAM_00371	K03702
CDOECKAM_00373	K03639
CDOECKAM_00374	K03638
CDOECKAM_00375	K03637
CDOECKAM_00376	K03636
CDOECKAM_00377	K03635
CDOECKAM_00378	K06890
CDOECKAM_00380	K07027
CDOECKAM_00381	K06131
CDOECKAM_00384	K01992
CDOECKAM_00385	K01992
CDOECKAM_00386	K01990
CDOECKAM_00387	K13888
CDOECKAM_00389	K11927
CDOECKAM_00390	K03722
CDOECKAM_00391	K00766
CDOECKAM_00392	K13574
CDOECKAM_00393	K12151
CDOECKAM_00395	K07336
CDOECKAM_00396	K16090
CDOECKAM_00397	K12151
CDOECKAM_00398	K06970
CDOECKAM_00399	K22044
CDOECKAM_00400	K10038
CDOECKAM_00401	K10037
CDOECKAM_00402	K10036
CDOECKAM_00403	K04047
CDOECKAM_00404	K11939
CDOECKAM_00405	K11934
CDOECKAM_00408	K11924
CDOECKAM_00410	K19235
CDOECKAM_00412	K07757
CDOECKAM_00413	K20038
CDOECKAM_00414	K20037
CDOECKAM_00415	K08313
CDOECKAM_00416	K21029
CDOECKAM_00417	K03750
CDOECKAM_00418	K13051
CDOECKAM_00419	K13892
CDOECKAM_00420	K13889
CDOECKAM_00421	K13890
CDOECKAM_00422	K13891
CDOECKAM_00424	K13069
CDOECKAM_00425	K14441
CDOECKAM_00427	K21430
CDOECKAM_00428	K00799
CDOECKAM_00429	K07258
CDOECKAM_00430	K11534
CDOECKAM_00431	K19302
CDOECKAM_00432	K08160
CDOECKAM_00434	K20861
CDOECKAM_00439	K03674
CDOECKAM_00441	K10678
CDOECKAM_00442	K05844
CDOECKAM_00444	K11073
CDOECKAM_00445	K11072
CDOECKAM_00446	K11075
CDOECKAM_00447	K02053
CDOECKAM_00449	K03212
CDOECKAM_00450	K09996
CDOECKAM_00451	K09998
CDOECKAM_00452	K09999
CDOECKAM_00453	K09997
CDOECKAM_00454	K10000
CDOECKAM_00457	K11066
CDOECKAM_00458	K16045
CDOECKAM_00460	K01620
CDOECKAM_00461	K00156
CDOECKAM_00462	K11933
CDOECKAM_00463	K05601
CDOECKAM_00465	K06188
CDOECKAM_00468	K13888
CDOECKAM_00469	K05685
CDOECKAM_00470	K03704
CDOECKAM_00471	K06891
CDOECKAM_00472	K03694
CDOECKAM_00474	K02518
CDOECKAM_00475	K00684
CDOECKAM_00476	K11085
CDOECKAM_00477	K16013
CDOECKAM_00478	K00384
CDOECKAM_00479	K03719
CDOECKAM_00480	K03466
CDOECKAM_00481	K03634
CDOECKAM_00482	K07478
CDOECKAM_00483	K01875
CDOECKAM_00484	K07306
CDOECKAM_00485	K07307
CDOECKAM_00486	K07308
CDOECKAM_00488	K08219
CDOECKAM_00489	K04069
CDOECKAM_00490	K00656
CDOECKAM_00491	K06212
CDOECKAM_00492	K09136
CDOECKAM_00494	K00831
CDOECKAM_00495	K00800
CDOECKAM_00496	K07387
CDOECKAM_00497	K00945
CDOECKAM_00498	K02945
CDOECKAM_00499	K05788
CDOECKAM_00500	K02238
CDOECKAM_00501	K11085
CDOECKAM_00502	K00912
CDOECKAM_00505	K00979
CDOECKAM_00508	K06219
CDOECKAM_00509	K03633
CDOECKAM_00510	K03804
CDOECKAM_00511	K03632
CDOECKAM_00514	K01069
CDOECKAM_00515	K00813
CDOECKAM_00516	K09476
CDOECKAM_00517	K01893
CDOECKAM_00518	K00763
CDOECKAM_00519	K01256
CDOECKAM_00520	K15555
CDOECKAM_00521	K15554
CDOECKAM_00522	K04091
CDOECKAM_00523	K15553
CDOECKAM_00524	K00299
CDOECKAM_00525	K00254
CDOECKAM_00526	K18657
CDOECKAM_00528	K12297
CDOECKAM_00529	K15738
CDOECKAM_00530	K03808
CDOECKAM_00531	K06192
CDOECKAM_00533	K03812
CDOECKAM_00534	K01716
CDOECKAM_00535	K01338
CDOECKAM_00536	K09911
CDOECKAM_00537	K03286
CDOECKAM_00538	K13053
CDOECKAM_00539	K07343
CDOECKAM_00542	K03658
CDOECKAM_00543	K01734
CDOECKAM_00546	K11940
CDOECKAM_00547	K06969
CDOECKAM_00548	K01512
CDOECKAM_00549	K11179
CDOECKAM_00550	K19416
CDOECKAM_00552	K06282
CDOECKAM_00553	K06281
CDOECKAM_00554	K03620
CDOECKAM_00555	K03605
CDOECKAM_00556	K03619
CDOECKAM_00558	K00425
CDOECKAM_00559	K00426
CDOECKAM_00560	K01093
CDOECKAM_00561	K03704
CDOECKAM_00564	K07647
CDOECKAM_00565	K11930
CDOECKAM_00566	K07772
CDOECKAM_00567	K03532
CDOECKAM_00568	K07811
CDOECKAM_00569	K03533
CDOECKAM_00570	K18997
CDOECKAM_00571	K05516
CDOECKAM_00572	K01085
CDOECKAM_00574	K03809
CDOECKAM_00576	K09016
CDOECKAM_00577	K09024
CDOECKAM_00578	K09019
CDOECKAM_00579	K09023
CDOECKAM_00580	K09021
CDOECKAM_00581	K09020
CDOECKAM_00582	K09018
CDOECKAM_00583	K09017
CDOECKAM_00584	K13821
CDOECKAM_00586	K11928
CDOECKAM_00587	K07243
CDOECKAM_00588	K07224
CDOECKAM_00589	K16301
CDOECKAM_00590	K06217
CDOECKAM_00591	K11937
CDOECKAM_00592	K11936
CDOECKAM_00593	K11931
CDOECKAM_00594	K11935
CDOECKAM_00597	K12972
CDOECKAM_00598	K04477
CDOECKAM_00601	K06214
CDOECKAM_00603	K04337
CDOECKAM_00604	K04333
CDOECKAM_00605	K04335
CDOECKAM_00606	K04334
CDOECKAM_00607	K04336
CDOECKAM_00610	K06132
CDOECKAM_00611	K11941
CDOECKAM_00612	K03670
CDOECKAM_00613	K03669
CDOECKAM_00617	K02517
CDOECKAM_00618	K21147
CDOECKAM_00622	K02846
CDOECKAM_00623	K12148
CDOECKAM_00624	K12149
CDOECKAM_00625	K01465
CDOECKAM_00627	K03675
CDOECKAM_00628	K08162
CDOECKAM_00629	K03817
CDOECKAM_00631	K03810
CDOECKAM_00632	K03980
CDOECKAM_00633	K02399
CDOECKAM_00634	K02398
CDOECKAM_00635	K02386
CDOECKAM_00636	K02387
CDOECKAM_00637	K02388
CDOECKAM_00638	K02389
CDOECKAM_00639	K02390
CDOECKAM_00640	K02391
CDOECKAM_00641	K02392
CDOECKAM_00644	K02395
CDOECKAM_00645	K02396
CDOECKAM_00646	K02397
CDOECKAM_00647	K08300
CDOECKAM_00648	K06179
CDOECKAM_00650	K07040
CDOECKAM_00651	K02911
CDOECKAM_00652	K03621
CDOECKAM_00653	K00648
CDOECKAM_00654	K00645
CDOECKAM_00655	K00059
CDOECKAM_00656	K02078
CDOECKAM_00657	K09458
CDOECKAM_00658	K02619
CDOECKAM_00659	K07082
CDOECKAM_00660	K00943
CDOECKAM_00661	K02341
CDOECKAM_00662	K03424
CDOECKAM_00663	K02778
CDOECKAM_00663	K02779
CDOECKAM_00664	K16088
CDOECKAM_00665	K02503
CDOECKAM_00667	K07337
CDOECKAM_00668	K07251
CDOECKAM_00669	K01207
CDOECKAM_00671	K03885
CDOECKAM_00673	K22041
CDOECKAM_00674	K12151
CDOECKAM_00675	K19236
CDOECKAM_00676	K03723
CDOECKAM_00679	K09808
CDOECKAM_00680	K09810
CDOECKAM_00681	K09808
CDOECKAM_00682	K00884
CDOECKAM_00683	K12410
CDOECKAM_00686	K11069
CDOECKAM_00687	K02053
CDOECKAM_00688	K11071
CDOECKAM_00689	K11072
CDOECKAM_00690	K01258
CDOECKAM_00691	K18850
CDOECKAM_00692	K07637
CDOECKAM_00693	K07660
CDOECKAM_00694	K01756
CDOECKAM_00695	K07153
CDOECKAM_00696	K00566
CDOECKAM_00697	K12152
CDOECKAM_00698	K06181
CDOECKAM_00699	K00031
CDOECKAM_00724	K01160
CDOECKAM_00727	K16076
CDOECKAM_00729	K01185
CDOECKAM_00738	K04773
CDOECKAM_00751	K21140
CDOECKAM_00757	K11602
CDOECKAM_00758	K11602
CDOECKAM_00759	K02013
CDOECKAM_00763	K03827
CDOECKAM_00764	K00031
CDOECKAM_00766	K21972
CDOECKAM_00767	K21973
CDOECKAM_00768	K21974
CDOECKAM_00769	K21976
CDOECKAM_00771	K13244
CDOECKAM_00774	K12679
CDOECKAM_00778	K03608
CDOECKAM_00779	K03609
CDOECKAM_00780	K03610
CDOECKAM_00784	K16856
CDOECKAM_00786	K11139
CDOECKAM_00787	K01356
CDOECKAM_00788	K02346
CDOECKAM_00789	K03611
CDOECKAM_00790	K03314
CDOECKAM_00791	K03603
CDOECKAM_00793	K00285
CDOECKAM_00794	K01775
CDOECKAM_00795	K11105
CDOECKAM_00796	K01297
CDOECKAM_00797	K08308
CDOECKAM_00798	K21087
CDOECKAM_00800	K16089
CDOECKAM_00801	K00767
CDOECKAM_00803	K02013
CDOECKAM_00804	K02015
CDOECKAM_00806	K01194
CDOECKAM_00807	K05881
CDOECKAM_00808	K05879
CDOECKAM_00809	K05878
CDOECKAM_00810	K05880
CDOECKAM_00811	K06942
CDOECKAM_00812	K01056
CDOECKAM_00814	K03321
CDOECKAM_00815	K00948
CDOECKAM_00816	K00919
CDOECKAM_00817	K02494
CDOECKAM_00818	K02492
CDOECKAM_00819	K02835
CDOECKAM_00820	K02493
CDOECKAM_00823	K01627
CDOECKAM_00824	K18862
CDOECKAM_00825	K07300
CDOECKAM_00826	K06197
CDOECKAM_00830	K07684
CDOECKAM_00831	K07673
CDOECKAM_00833	K02575
CDOECKAM_00834	K00370
CDOECKAM_00835	K00371
CDOECKAM_00836	K00373
CDOECKAM_00837	K00374
CDOECKAM_00841	K01433
CDOECKAM_00843	K07001
CDOECKAM_00844	K02485
CDOECKAM_00845	K00963
CDOECKAM_00846	K03746
CDOECKAM_00847	K00857
CDOECKAM_00849	K04072
CDOECKAM_00853	K15580
CDOECKAM_00854	K15581
CDOECKAM_00855	K15582
CDOECKAM_00856	K15583
CDOECKAM_00857	K10823
CDOECKAM_00859	K06131
CDOECKAM_00860	K10716
CDOECKAM_00863	K10806
CDOECKAM_00864	K06190
CDOECKAM_00866	K07275
CDOECKAM_00870	K01695
CDOECKAM_00871	K01696
CDOECKAM_00872	K13498
CDOECKAM_00873	K13497
CDOECKAM_00874	K01657
CDOECKAM_00875	K07053
CDOECKAM_00876	K07566
CDOECKAM_00878	K06178
CDOECKAM_00881	K19221
CDOECKAM_00883	K04774
CDOECKAM_00885	K03168
CDOECKAM_00886	K13634
CDOECKAM_00889	K01681
CDOECKAM_00890	K01497
CDOECKAM_00891	K01096
CDOECKAM_00892	K08992
CDOECKAM_00893	K19804
CDOECKAM_00894	K01591
CDOECKAM_00896	K04062
CDOECKAM_00897	K02468
CDOECKAM_00899	K14051
CDOECKAM_00900	K01147
CDOECKAM_00902	K00208
CDOECKAM_00904	K03585
CDOECKAM_00905	K18138
CDOECKAM_00907	K07552
CDOECKAM_00908	K19230
CDOECKAM_00909	K19229
CDOECKAM_00910	K19228
CDOECKAM_00911	K19227
CDOECKAM_00912	K19226
CDOECKAM_00915	K03974
CDOECKAM_00916	K03969
CDOECKAM_00917	K03970
CDOECKAM_00918	K03973
CDOECKAM_00919	K03971
CDOECKAM_00920	K03972
CDOECKAM_00921	K00690
CDOECKAM_00922	K10117
CDOECKAM_00923	K02025
CDOECKAM_00924	K02026
CDOECKAM_00926	K18910
CDOECKAM_00927	K19181
CDOECKAM_00929	K01838
CDOECKAM_00930	K10111
CDOECKAM_00931	K05816
CDOECKAM_00932	K14053
CDOECKAM_00936	K03721
CDOECKAM_00937	K11065
CDOECKAM_00938	K19802
CDOECKAM_00943	K15580
CDOECKAM_00944	K16052
CDOECKAM_00946	K14055
CDOECKAM_00947	K01420
CDOECKAM_00948	K00567
CDOECKAM_00950	K07797
CDOECKAM_00951	K03446
CDOECKAM_00953	K21088
CDOECKAM_00954	K16074
CDOECKAM_00956	K05591
CDOECKAM_00957	K14058
CDOECKAM_00958	K11602
CDOECKAM_00959	K14061
CDOECKAM_00960	K14062
CDOECKAM_00961	K03737
CDOECKAM_00963	K03668
CDOECKAM_00964	K03778
CDOECKAM_00969	K06222
CDOECKAM_00971	K00981
CDOECKAM_00972	K01048
CDOECKAM_00974	K01118
CDOECKAM_00977	K07248
CDOECKAM_00979	K12262
CDOECKAM_00982	K05876
CDOECKAM_00983	K05876
CDOECKAM_00984	K21756
CDOECKAM_00988	K03817
CDOECKAM_00990	K03304
CDOECKAM_00991	K16868
CDOECKAM_00993	K05782
CDOECKAM_00995	K08303
CDOECKAM_00997	K05825
CDOECKAM_00998	K11073
CDOECKAM_00999	K11072
CDOECKAM_01000	K02054
CDOECKAM_01001	K02053
CDOECKAM_01002	K00137
CDOECKAM_01005	K09936
CDOECKAM_01006	K03823
CDOECKAM_01007	K13654
CDOECKAM_01008	K16091
CDOECKAM_01010	K11738
CDOECKAM_01014	K11904
CDOECKAM_01019	K00675
CDOECKAM_01021	K00374
CDOECKAM_01022	K00373
CDOECKAM_01023	K00371
CDOECKAM_01024	K00370
CDOECKAM_01025	K02575
CDOECKAM_01027	K08348
CDOECKAM_01028	K08348
CDOECKAM_01029	K08349
CDOECKAM_01030	K08350
CDOECKAM_01031	K21498
CDOECKAM_01034	K13953
CDOECKAM_01035	K00027
CDOECKAM_01036	K02972
CDOECKAM_01038	K04063
CDOECKAM_01039	K13243
CDOECKAM_01041	K20265
CDOECKAM_01042	K01580
CDOECKAM_01045	K02471
CDOECKAM_01046	K06871
CDOECKAM_01047	K01133
CDOECKAM_01054	K07347
CDOECKAM_01056	K07345
CDOECKAM_01063	K02453
CDOECKAM_01073	K07154
CDOECKAM_01074	K15773
CDOECKAM_01075	K00598
CDOECKAM_01077	K00041
CDOECKAM_01078	K21085
CDOECKAM_01080	K01425
CDOECKAM_01081	K08324
CDOECKAM_01083	K08159
CDOECKAM_01085	K03712
CDOECKAM_01086	K13632
CDOECKAM_01088	K01223
CDOECKAM_01089	K10124
CDOECKAM_01090	K11922
CDOECKAM_01091	K15268
CDOECKAM_01094	K13069
CDOECKAM_01095	K01284
CDOECKAM_01096	K16066
CDOECKAM_01097	K22293
CDOECKAM_01099	K19633
CDOECKAM_01100	K03762
CDOECKAM_01101	K08322
CDOECKAM_01102	K08323
CDOECKAM_01105	K00657
CDOECKAM_01109	K03281
CDOECKAM_01110	K01935
CDOECKAM_01111	K02565
CDOECKAM_01112	K05817
CDOECKAM_01113	K08224
CDOECKAM_01116	K11742
CDOECKAM_01117	K11743
CDOECKAM_01118	K11744
CDOECKAM_01119	K00325
CDOECKAM_01120	K00324
CDOECKAM_01122	K03758
CDOECKAM_01123	K13938
CDOECKAM_01125	K07661
CDOECKAM_01126	K07639
CDOECKAM_01127	K10748
CDOECKAM_01128	K01679
CDOECKAM_01129	K01676
CDOECKAM_01130	K01809
CDOECKAM_01132	K16140
CDOECKAM_01134	K01195
CDOECKAM_01135	K22108
CDOECKAM_01136	K00076
CDOECKAM_01137	K16136
CDOECKAM_01138	K02790
CDOECKAM_01138	K02791
CDOECKAM_01139	K14155
CDOECKAM_01140	K18286
CDOECKAM_01141	K16044
CDOECKAM_01144	K03617
CDOECKAM_01145	K03616
CDOECKAM_01146	K03615
CDOECKAM_01147	K03614
CDOECKAM_01148	K03612
CDOECKAM_01149	K03613
CDOECKAM_01150	K10773
CDOECKAM_01151	K03305
CDOECKAM_01152	K00799
CDOECKAM_01153	K00868
CDOECKAM_01154	K01866
CDOECKAM_01155	K00275
CDOECKAM_01157	K09001
CDOECKAM_01158	K06077
CDOECKAM_01159	K06075
CDOECKAM_01161	K15548
CDOECKAM_01162	K03468
CDOECKAM_01163	K04565
CDOECKAM_01166	K16137
CDOECKAM_01167	K10680
CDOECKAM_01168	K01759
CDOECKAM_01169	K03683
CDOECKAM_01170	K07390
CDOECKAM_01171	K19303
CDOECKAM_01172	K04564
CDOECKAM_01173	K19577
CDOECKAM_01175	K03604
CDOECKAM_01178	K00574
CDOECKAM_01179	K00793
CDOECKAM_01180	K03327
CDOECKAM_01193	K00873
CDOECKAM_01194	K06078
CDOECKAM_01195	K19234
CDOECKAM_01196	K02426
CDOECKAM_01197	K11717
CDOECKAM_01198	K09015
CDOECKAM_01199	K09013
CDOECKAM_01200	K09014
CDOECKAM_01201	K13628
CDOECKAM_01203	K19222
CDOECKAM_01209	K05887
CDOECKAM_01210	K03785
CDOECKAM_01211	K19709
CDOECKAM_01212	K08297
CDOECKAM_01213	K02855
CDOECKAM_01215	K22431
CDOECKAM_01216	K03522
CDOECKAM_01217	K00311
CDOECKAM_01218	K03855
CDOECKAM_01219	K12507
CDOECKAM_01220	K01007
CDOECKAM_01221	K09773
CDOECKAM_01222	K01626
CDOECKAM_01226	K13694
CDOECKAM_01227	K06074
CDOECKAM_01228	K00432
CDOECKAM_01229	K06073
CDOECKAM_01230	K04764
CDOECKAM_01231	K01890
CDOECKAM_01232	K01889
CDOECKAM_01233	K02887
CDOECKAM_01234	K02916
CDOECKAM_01235	K02520
CDOECKAM_01236	K01868
CDOECKAM_01240	K16370
CDOECKAM_01244	K19270
CDOECKAM_01245	K07038
CDOECKAM_01246	K06956
CDOECKAM_01247	K06956
CDOECKAM_01248	K15722
CDOECKAM_01249	K03781
CDOECKAM_01250	K03478
CDOECKAM_01251	K01222
CDOECKAM_01252	K03490
CDOECKAM_01253	K02759
CDOECKAM_01254	K02761
CDOECKAM_01255	K02760
CDOECKAM_01256	K04064
CDOECKAM_01257	K01916
CDOECKAM_01258	K05984
CDOECKAM_01261	K05526
CDOECKAM_01262	K01484
CDOECKAM_01263	K06447
CDOECKAM_01264	K00673
CDOECKAM_01265	K00840
CDOECKAM_01266	K01142
CDOECKAM_01272	K05778
CDOECKAM_01273	K02010
CDOECKAM_01274	K21028
CDOECKAM_01276	K08320
CDOECKAM_01278	K00262
CDOECKAM_01279	K07126
CDOECKAM_01280	K07126
CDOECKAM_01281	K04045
CDOECKAM_01282	K03169
CDOECKAM_01283	K01008
CDOECKAM_01285	K04773
CDOECKAM_01286	K01424
CDOECKAM_01287	K08281
CDOECKAM_01288	K08369
CDOECKAM_01289	K02444
CDOECKAM_01292	K01624
CDOECKAM_01293	K00008
CDOECKAM_01294	K08369
CDOECKAM_01295	K19648
CDOECKAM_01297	K07305
CDOECKAM_01298	K00134
CDOECKAM_01299	K01792
CDOECKAM_01301	K07274
CDOECKAM_01303	K09786
CDOECKAM_01309	K03449
CDOECKAM_01312	K13069
CDOECKAM_01315	K16868
CDOECKAM_01316	K11250
CDOECKAM_01317	K03684
CDOECKAM_01318	K01897
CDOECKAM_01319	K07285
CDOECKAM_01320	K14742
CDOECKAM_01321	K03722
CDOECKAM_01322	K09022
CDOECKAM_01325	K01665
CDOECKAM_01327	K01752
CDOECKAM_01328	K21090
CDOECKAM_01329	K06189
CDOECKAM_01330	K02793
CDOECKAM_01330	K02794
CDOECKAM_01331	K02795
CDOECKAM_01332	K02796
CDOECKAM_01335	K00563
CDOECKAM_01336	K03704
CDOECKAM_01339	K19333
CDOECKAM_01341	K03799
CDOECKAM_01342	K03797
CDOECKAM_01343	K03607
CDOECKAM_01344	K08968
CDOECKAM_01345	K03808
CDOECKAM_01346	K06192
CDOECKAM_01347	K11392
CDOECKAM_01350	K07313
CDOECKAM_01352	K07245
CDOECKAM_01354	K02345
CDOECKAM_01356	K10857
CDOECKAM_01357	K01354
CDOECKAM_01362	K08289
CDOECKAM_01363	K01625
CDOECKAM_01364	K01690
CDOECKAM_01365	K00036
CDOECKAM_01367	K19337
CDOECKAM_01368	K00873
CDOECKAM_01369	K02560
CDOECKAM_01370	K19304
CDOECKAM_01371	K09815
CDOECKAM_01372	K09817
CDOECKAM_01373	K09816
CDOECKAM_01374	K03551
CDOECKAM_01375	K03550
CDOECKAM_01377	K01159
CDOECKAM_01379	K08310
